OMIE - Mercado de electricidad;;;;;;
Fecha Emisión :05/03/2026 - 14:47;;;;;;LISTADO DE UNIDADES OFERTANTES VIGENTES
;;;;;;
CAMCC01;CAMPO_UP;ENERGIAS DE LA VILLA DE CAMPO COMERCIALIZADORA SLU;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CAPTC01;COMERCIALIZACION;CAPTURA ENERGIA S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CATGC01;18WCATGC01-123-C;CATGAS ENERGIA SA;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CATRC01;CATRA COMPRA;ELECTRICA CATRALENSE, S.L.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CCASC01;CCASC01;COMERCAST ENERGIAS S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CCATC01;CCATR COMPRA;COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP.V.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CEBAC01;COOP ELEC BENEF ALBAT, COOP.V.;COOP ELÉCTRICA BENÉFICA ALBATERENSE, COOP.V.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CECAC01;COOP. ELECT. CASTELLAR;COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CEDC01;UNIDAD DE OFERTA PENINSULA;COMERCIALIZADORA DE ENERGIA DIRECTA S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CEESC01;CENES COMPRA ESP;ENERGYA VM ENERGIAS ESPECIALES;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CEGC01;CEG COMPRA (ESP);ENERGYA VM GENERACIÓN;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CENTCP3;CENTE DERECHOS COMPRA(FRAN);ENERGYA VM GESTION DE ENERGIA, S.L.;100;COMERCIALIZADOR;FRONTERA FRANCIA;Comercializador
CENTC01;CÉNTRICA ENERGÍA COM. 1 (ESP);ENERGYA VM GESTION DE ENERGIA, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CENTVP3;CENTE DERECHOS VENTA(FRAN);ENERGYA VM GESTION DE ENERGIA, S.L.;100;COMERCIALIZADOR;FRONTERA FRANCIA;Import. de comercializadoras
CEPEC01;18W00000000079GW;COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CEPSC02;COMPRA SUCURSAL PORTUGAL;CEPSA GAS Y ELECTRICIDAD S.A.-SUCURSAL EM PORTUGAL;100;COMERCIALIZADOR;ZONA PORTUGUESA;Comercializador
CESOC01;U. COMPRA DE COMERCIALIZADORA;COMERCIALIZADORA ENERGETICA SOSTENIBLE, S.A.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CETAC01;CETAC01;COMERCIALIZADORA ELECTRICA TALAYUELAS S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CHAC01;UNIDAD DE OFERTA;CHARGE ENERGY SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CHCC01;UNIDAD DE COMPRA CHC;CIDE HCENERGIA, S.A.U;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CHENC01;CHURCH ENERGY, S.L.;CHURCH ENERGY, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CHERC01;CHERA COMPRA;ELECTRICA SOT DE CHERA;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CHISC01;COMCH COMERCIALIZADORA ESP;COMERCIALIZADORA LA CHISTABINA S.L.U;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CIMAC01;CIMA ENERGIA;CIMA ENERGIA COMERCIALIZADORA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CLEAC01;COMPRA;CLEARVIEW ENERGY SL.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CLIDC01;CLIUO01;HOLALUZ-CLIDOM SA;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CLIDC02;UD. COMERCIALIZACION;CLIDOMER UNIPESSOAL LDA;100;COMERCIALIZADOR;ZONA PORTUGUESA;Comercializador
CNTLC01;CNTLC01;ELECTRACOMERCIAL CENTELLES;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
COALC01;COALG COMPRA;COMERCIALIZADORA SUM ESP ALGINETENSES, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CODOC01;CODOC01;ENERGIA COSTA DORADA SLU;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
COELC01;COELD COMPRA;ELECTRICA DE GUADASSUAR COOP. V.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
COGEC01;COGEN COMPRA ELECTRICIDAD;ENERGY BY COGEN;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
COMPC01;UP PENINSULAR;COMPAÑIA CASTELLANA DE COMERCIALIZACION ELECTRICA;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
COMTC01;COMTC01;COMERCIALIZADORA DE ENERGÍA TRANSPARENTE, SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CONEC01;COMPRA ENERGIA;CONECTA2 ENERGIA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CONSC01;CONSB UOF;CONSULTING AND MANAGEMENT GREEN ENERGY, SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
COPIC01;COMERCIALIZACION;COMERCIALIZADORA HAZ DE LUZ RENOVABLE, S.L.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CPERM01;REPR. RENU ENERGY;COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CPERM02;REPR. BEST OPTION;COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CREEC01;CREA ENERGIA COMERCIALIZADORA;CREAENERGIA ECO, S.L.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CREOC01;CRECE;CRECE SOLUCIONES DE ENERGÍA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CRGYC01;UNIDAD DE COMPRA;CARTO ENERGY, SOCIEDAD LIMITADA;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CUNCC01;CUNCC01;ELECTRA CUNTIENSE COMERCIALIADORA, S.L.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CUVEC01;CUVER DESTELLA ENERGIA, SL.;CUVER DESTELLA ENERGIA, SL.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CWCMC01;COMPRA CW COMERCIAL NO BALANCE;CAPWATT COMERCIAL S.L.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
CYDAC01;COMPRA CYDAE COMERCIALIZACION;COMERCIAL Y ASESORA DE ELECTRICIDAD, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
CYEC01;UNIDAD COMPRA COMERCIALIZACION;CYE ENERGIA S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
DAIMC01;COMERCIAL DAIMUZ;DAIMUZ ENERGIA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
DEBAC01;DEBAC01;DEBARU ENERGIA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
DETIC01;DETISA COMPRA (ESP);MOEVE GAS AND POWER, S.A.U;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
DETIR01;DETIR01;MOEVE GAS AND POWER, S.A.U;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compra Comercializador Balance
