CODIGO;TIPO_UNIDAD;TECNOLOGIA;regime;categoria;DESCRIPCION;AGENTE_PROPIETARIO;ZONA_FRONTERA
AIRVD01;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;AIRVD01;AIRE LIMPIO S.L.;ZONA ESPAÑOLA
AIRVD02;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;AIRVD02;AIRE LIMPIO S.L.;ZONA ESPAÑOLA
ALDRE01;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;ALDRO GENERACION;ENI PLENITUDE IBERIA, S.L.U.;ZONA ESPAÑOLA
ALDRE02;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;FV INSTALACION MAYOR 1MW;ENI PLENITUDE IBERIA, S.L.U.;ZONA ESPAÑOLA
ALFAV02;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;UNIDADE VENDA ALFA ENERGIA;ALFA ENERGIA, LDA;ZONA PORTUGUESA
ALG3;GENERACION;Ciclo Combinado;PRO;CICLO_COMBINADO_ES;C.C. ALGECIRAS 3;REPSOL SERVICIOS RENOVABLES, S.A.;ZONA ESPAÑOLA
ALIMA;GENERACION;Hidráulica Generación;PRO;HIDRICA_PRO_PT;LIMA;EDP GEM PORTUGAL S.A.;ZONA PORTUGUESA
ALZ1;GENERACION;Nuclear;PRO;NUCLEAR_ES;C.N. ALMARAZ 1;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
ALZ1;GENERACION;Nuclear;PRO;NUCLEAR_ES;C.N. ALMARAZ 1;GAS NATURAL COMERCIALIZADORA;ZONA ESPAÑOLA
ALZ1;GENERACION;Nuclear;PRO;NUCLEAR_ES;C.N. ALMARAZ 1;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
ALZ2;GENERACION;Nuclear;PRO;NUCLEAR_ES;C.N. ALMARAZ 2;GAS NATURAL COMERCIALIZADORA;ZONA ESPAÑOLA
ALZ2;GENERACION;Nuclear;PRO;NUCLEAR_ES;C.N. ALMARAZ 2;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
ALZ2;GENERACION;Nuclear;PRO;NUCLEAR_ES;C.N. ALMARAZ 2;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
AMBIETA;GENERACION;Ciclo Combinado;PRO;CICLO_COMBINADO_ES;C.C. AMOREBIETA;AXPO IBERIA, S.L.;ZONA ESPAÑOLA
AMEVD1;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;UNIDAD OFERTA TARIFA AME;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMEVD2;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;UNIDAD OFERTA MERCADO AME;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE001;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 1;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE002;GENERACION;RE Mercado Térmica Renovable;PRE;TERMICA_RENOV_ES;AME VENTA REG. ESP. 2;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE003;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 3;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE004;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 4;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE005;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 5;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE007;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 7;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE008;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 8;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE010;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 10;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE012;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 12;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
